method name, noise level, rotation error, translation error, execution time
17 pt,4,0.0013334,0.0358335,0.00010212
17 pt,4,0.00222338,0.00431049,0.00010403
17 pt,4,0.00235941,0.107992,0.00010038
17 pt,4,0.00189985,0.109379,0.00010344
17 pt,4,0.00253944,0.0501544,9.971e-05
17 pt,5,0.0030488,0.159346,0.00010389
17 pt,5,0.0060845,0.0692021,0.00010319
17 pt,5,0.00728941,0.168762,0.00010158
17 pt,5,0.00458641,0.0183904,0.00010239
17 pt,5,0.00248279,0.324306,9.703e-05
17 pt,5,0.00359164,0.089303,9.737e-05
17 pt,5,0.00267598,0.0314277,0.00010147
17 pt,5,0.00356784,0.0120176,0.0001022
17 pt,5,0.00298623,0.0216933,0.00010031
17 pt,5,0.00132607,0.0678661,0.0001016
17 pt,6,0.00705034,0.00470705,0.00010581
17 pt,6,0.0128523,0.085886,0.00010238
17 pt,6,0.00855002,0.159668,0.0001027
17 pt,6,0.0126326,0.460063,0.0001013
17 pt,6,0.011234,0.343436,0.00010317
17 pt,6,0.00257823,0.043526,0.00010177
17 pt,6,0.00181146,0.0364072,0.00010117
17 pt,6,0.0041719,0.210546,9.835e-05
17 pt,6,0.00268366,0.0592594,0.0001042
17 pt,6,0.00288645,0.116075,0.00010277
nonlin,0,2.83778e-07,4.9557e-05,0.00264131
nonlin,0,6.71375e-08,6.5952e-06,0.00512465
nonlin,0,4.30767e-07,7.05464e-07,0.00404553
nonlin,0,2.15934e-07,4.29767e-05,0.00525821
nonlin,0,6.88214e-07,6.65518e-05,0.00790494
nonlin,0,4.91432e-07,1.1424e-05,0.00856313
nonlin,0,1.14153e-06,2.96006e-05,0.00339638
nonlin,0,2.90479e-06,2.90306e-05,0.00567693
nonlin,0,2.1159e-07,6.87478e-06,0.00638308
nonlin,0,1.6208e-07,9.21056e-05,0.0048092
nonlin,1,0.000684953,0.00708362,0.00399499
nonlin,1,0.00102689,0.00268073,0.00307777
nonlin,1,2.68818,74.892,0.0104727
nonlin,1,0.000257467,0.0290711,0.00413034
nonlin,1,0.000498714,0.0134308,0.00285982
nonlin,1,0.000746292,0.00599901,0.00361623
nonlin,1,0.000309507,0.0269782,0.00281783
nonlin,1,0.000354824,0.00974011,0.00342456
nonlin,1,0.000323682,0.0359274,0.00137528
nonlin,1,0.000444997,0.00136467,0.00299073
nonlin,2,0.00011972,0.00985903,0.00288273
nonlin,2,0.00177937,0.0247857,0.00666117
nonlin,2,0.00103003,0.0123915,0.0101724
nonlin,2,0.000108858,0.0273902,0.0032781
nonlin,2,0.000591459,0.0202068,0.00352071
nonlin,2,0.0010937,0.0278815,0.00250329
nonlin,2,0.00178448,0.0493691,0.00370727
nonlin,2,0.00151688,0.109051,0.0047191
nonlin,2,0.00135024,0.00821322,0.00293806
nonlin,2,0.000701009,0.00601236,0.00265299
nonlin,3,0.00246312,0.0410021,0.00329049
nonlin,3,0.00135436,0.0729178,0.00232525
nonlin,3,0.00312331,0.0417351,0.00274742
nonlin,3,0.0013046,0.0204879,0.00344946
nonlin,3,0.00164562,0.00746011,0.00312883
nonlin,3,0.000700858,0.0239805,0.00252852
nonlin,3,0.00226024,0.0534524,0.00417202
nonlin,3,0.00123893,0.0137569,0.00368598
nonlin,3,0.002587,0.0315783,0.00321331
nonlin,3,0.000726445,0.0550447,0.00267985
nonlin,4,0.00338539,0.00394175,0.00347454
nonlin,4,0.0026868,0.0358688,0.00311411
nonlin,4,0.00328657,0.0545258,0.00464783
nonlin,4,0.00365954,0.0386092,0.00216554
nonlin,4,0.00355099,0.0341474,0.00353941
nonlin,4,0.00135781,0.0442012,0.00234894
nonlin,4,0.00106621,0.0208884,0.00228883
nonlin,4,0.0014367,0.197534,0.00312443
nonlin,4,0.00224194,0.0546779,0.00254244
nonlin,4,0.000659809,0.00664467,0.00365474
nonlin,5,0.00149775,0.0084487,0.00346918
nonlin,5,0.00335167,0.0535416,0.00214692
nonlin,5,0.0058955,0.201636,0.00328059
nonlin,5,0.00344681,0.0631587,0.00279391
nonlin,5,0.000760504,0.173487,0.00302603
nonlin,5,0.0020321,0.0654602,0.00335336
nonlin,5,0.00303475,0.0616464,0.0052709
nonlin,5,0.00189322,0.0480237,0.00279606
nonlin,5,0.00168336,0.104487,0.00274136
nonlin,5,0.00299895,0.0523922,0.00294126
nonlin,6,0.00476653,0.0249031,0.00272396
nonlin,6,0.00303401,0.0668437,0.00335875
nonlin,6,0.00241969,0.0724993,0.00273884
nonlin,6,0.00251178,0.200337,0.00266777
nonlin,6,0.00608407,0.214443,0.00330598
nonlin,6,0.00149649,0.170806,0.0033382
nonlin,6,0.00551472,3.5761,0.0105679
nonlin,6,0.00449317,0.0750686,0.00385878
nonlin,6,0.00434494,0.0178196,0.00429585
nonlin,6,0.00146765,0.0507647,0.0031173
amm,0,1.6072e-14,4.96507e-16,1.6e-05
amm,0,1.54899e-12,1.64766e-15,2e-05
amm,0,7.33661e-15,2.29366e-15,1.2e-05
amm,0,3.92957e-14,1.13221e-15,1.3e-05
amm,0,8.99522e-13,5.79211e-15,1.8e-05
amm,0,2.15189e-14,4.73377e-15,1.4e-05
amm,0,4.81809e-14,3.17919e-15,1.2e-05
amm,0,5.23037e-14,4.00912e-15,1.2e-05
amm,0,3.67423e-15,4.94891e-15,1.1e-05
amm,0,4.8227e-14,1.44466e-14,1.5e-05
amm,1,0.00108964,0.00569398,0.000105
amm,1,0.00145413,0.010012,0.000145
amm,1,0.000549928,0.004231,0.000106
amm,1,0.000292569,0.00771507,6.8e-05
amm,1,0.00046653,0.0135223,0.000116
amm,1,0.000790331,0.00362231,0.00011
amm,1,0.000449792,0.041708,0.000117
